Year,EndDate,day.of.year,Station,Net,Species,totcount,LG,Morts
2001,6/28/2001,179,231,231N,ARCS,37,1,NA
2001,6/28/2001,179,231,231N,ARCS,9,2,NA
2001,6/28/2001,179,231,231N,ARFL,18,NA,NA
2001,6/28/2001,179,231,231N,BDWF,6,1,NA
2001,6/28/2001,179,231,231N,DLVN,2,1,NA
2001,6/28/2001,179,231,231N,FHSC,2,NA,NA
2001,6/28/2001,179,231,231N,RBSM,34,NA,NA
2001,6/28/2001,179,231,231N,RDWF,1,NA,NA
2001,6/28/2001,179,231,231S,ARCS,106,1,NA
2001,6/28/2001,179,231,231S,ARFL,4,NA,NA
2001,6/28/2001,179,231,231S,BDWF,20,1,NA
2001,6/28/2001,179,231,231S,BDWF,4,2,NA
2001,6/28/2001,179,231,231S,BDWF,2,3,NA
2001,6/28/2001,179,231,231S,DLVN,3,1,NA
2001,6/28/2001,179,231,231S,FHSC,6,NA,NA
2001,6/28/2001,179,231,231S,LSCS,1,1,NA
2001,6/28/2001,179,231,231S,RBSM,16,NA,NA
2001,6/28/2001,179,231,231S,RDWF,8,NA,NA
2001,6/29/2001,180,231,231N,ARCS,9,1,NA
2001,6/29/2001,180,231,231N,ARCS,2,2,NA
2001,6/29/2001,180,231,231N,ARFL,12,NA,NA
2001,6/29/2001,180,231,231N,BDWF,2,1,NA
2001,6/29/2001,180,231,231N,DLVN,1,1,NA
2001,6/29/2001,180,231,231N,FHSC,7,NA,NA
2001,6/29/2001,180,231,231N,RBSM,7,NA,NA
2001,6/30/2001,181,231,231N,ARCS,2,1,NA
2001,6/30/2001,181,231,231N,DLVN,2,1,NA
2001,6/30/2001,181,231,231S,ARCS,4,1,NA
2001,6/30/2001,181,231,231S,ARFL,2,NA,NA
2001,6/30/2001,181,231,231S,BDWF,1,1,NA
2001,6/30/2001,181,231,231S,DLVN,4,1,NA
2001,6/30/2001,181,231,231S,FHSC,2,NA,NA
2001,6/30/2001,181,231,231S,RBSM,1,NA,NA
2001,7/1/2001,182,231,231N,ARCS,1,1,NA
2001,7/1/2001,182,231,231N,BDWF,1,2,NA
2001,7/1/2001,182,231,231N,DLVN,2,1,NA
2001,7/1/2001,182,231,231N,FHSC,3,NA,NA
2001,7/1/2001,182,231,231S,ARCS,2,1,NA
2001,7/1/2001,182,231,231S,ARCS,1,3,NA
2001,7/1/2001,182,231,231S,FHSC,2,NA,NA
2001,7/1/2001,182,231,231S,RBSM,3,NA,NA
2001,7/2/2001,183,230,230N,ARCS,19,1,NA
2001,7/2/2001,183,230,230N,ARCS,18,2,NA
2001,7/2/2001,183,230,230N,ARFL,3,NA,NA
2001,7/2/2001,183,230,230N,BDWF,4,2,NA
2001,7/2/2001,183,230,230N,BDWF,2,3,NA
2001,7/2/2001,183,230,230N,DLVN,6,1,NA
2001,7/2/2001,183,230,230N,DLVN,1,2,NA
2001,7/2/2001,183,230,230N,FHSC,12,NA,NA
2001,7/2/2001,183,230,230N,RBSM,39,NA,NA
2001,7/2/2001,183,230,230S,ARCS,20,1,NA
2001,7/2/2001,183,230,230S,ARCS,25,2,NA
2001,7/2/2001,183,230,230S,ARFL,8,NA,NA
2001,7/2/2001,183,230,230S,BDWF,1,1,NA
2001,7/2/2001,183,230,230S,BDWF,7,2,NA
2001,7/2/2001,183,230,230S,BDWF,4,3,NA
2001,7/2/2001,183,230,230S,DLVN,2,1,NA
2001,7/2/2001,183,230,230S,FHSC,14,NA,NA
2001,7/2/2001,183,230,230S,GRAY,1,NA,NA
2001,7/2/2001,183,230,230S,RBSM,38,NA,NA
2001,7/2/2001,183,231,231N,ARCS,14,1,NA
2001,7/2/2001,183,231,231N,ARCS,5,2,NA
2001,7/2/2001,183,231,231N,ARFL,2,NA,NA
2001,7/2/2001,183,231,231N,BDWF,4,1,NA
2001,7/2/2001,183,231,231N,BDWF,1,2,NA
2001,7/2/2001,183,231,231N,DLVN,15,1,NA
2001,7/2/2001,183,231,231N,FHSC,1,NA,NA
2001,7/2/2001,183,231,231N,RBSM,27,NA,NA
2001,7/2/2001,183,231,231N,RDWF,2,NA,NA
2001,7/2/2001,183,231,231S,ARCS,10,1,NA
2001,7/2/2001,183,231,231S,ARCS,1,2,NA
2001,7/2/2001,183,231,231S,ARFL,3,NA,NA
2001,7/2/2001,183,231,231S,BDWF,3,1,NA
2001,7/2/2001,183,231,231S,BDWF,4,2,NA
2001,7/2/2001,183,231,231S,DLVN,4,1,NA
2001,7/2/2001,183,231,231S,FHSC,1,NA,NA
2001,7/2/2001,183,231,231S,RBSM,26,NA,NA
2001,7/2/2001,183,231,231S,RDWF,1,NA,NA
2001,7/3/2001,184,230,230N,ARCS,60,1,NA
2001,7/3/2001,184,230,230N,ARCS,15,2,NA
2001,7/3/2001,184,230,230N,ARCS,2,3,NA
2001,7/3/2001,184,230,230N,BDWF,8,1,NA
2001,7/3/2001,184,230,230N,BDWF,6,2,NA
2001,7/3/2001,184,230,230N,BDWF,15,3,NA
2001,7/3/2001,184,230,230N,DLVN,4,1,NA
2001,7/3/2001,184,230,230N,FHSC,15,NA,NA
2001,7/3/2001,184,230,230N,GRAY,1,NA,NA
2001,7/3/2001,184,230,230N,LSCS,3,1,NA
2001,7/3/2001,184,230,230N,RBSM,126,NA,NA
2001,7/3/2001,184,230,230S,ARCS,15,1,NA
2001,7/3/2001,184,230,230S,ARCS,14,2,NA
2001,7/3/2001,184,230,230S,ARCS,3,3,NA
2001,7/3/2001,184,230,230S,ARFL,9,NA,NA
2001,7/3/2001,184,230,230S,BDWF,1,1,NA
2001,7/3/2001,184,230,230S,BDWF,15,2,NA
2001,7/3/2001,184,230,230S,BDWF,41,3,NA
2001,7/3/2001,184,230,230S,DLVN,5,1,NA
2001,7/3/2001,184,230,230S,DLVN,1,2,NA
2001,7/3/2001,184,230,230S,FHSC,12,NA,NA
2001,7/3/2001,184,230,230S,LSCS,2,2,NA
2001,7/3/2001,184,230,230S,RBSM,91,NA,NA
2001,7/3/2001,184,230,230S,RDWF,2,NA,NA
2001,7/3/2001,184,231,231N,ARCS,6,1,NA
2001,7/3/2001,184,231,231N,ARCS,6,2,NA
2001,7/3/2001,184,231,231N,ARFL,14,NA,NA
2001,7/3/2001,184,231,231N,BDWF,1,1,NA
2001,7/3/2001,184,231,231N,BDWF,1,2,NA
2001,7/3/2001,184,231,231N,DLVN,7,1,NA
2001,7/3/2001,184,231,231N,GRAY,1,NA,NA
2001,7/3/2001,184,231,231N,RBSM,4,NA,NA
2001,7/3/2001,184,231,231S,ARCS,14,1,NA
2001,7/3/2001,184,231,231S,ARCS,6,2,NA
2001,7/3/2001,184,231,231S,ARFL,24,NA,NA
2001,7/3/2001,184,231,231S,BDWF,12,1,NA
2001,7/3/2001,184,231,231S,BDWF,3,2,NA
2001,7/3/2001,184,231,231S,DLVN,10,1,NA
2001,7/3/2001,184,231,231S,FHSC,3,NA,NA
2001,7/3/2001,184,231,231S,RBSM,13,NA,NA
2001,7/3/2001,184,231,231S,RDWF,2,NA,NA
2001,7/4/2001,185,230,230N,ARCS,20,1,NA
2001,7/4/2001,185,230,230N,ARCS,15,2,NA
2001,7/4/2001,185,230,230N,ARCS,3,3,NA
2001,7/4/2001,185,230,230N,ARFL,21,NA,NA
2001,7/4/2001,185,230,230N,BDWF,7,1,NA
2001,7/4/2001,185,230,230N,BDWF,10,2,NA
2001,7/4/2001,185,230,230N,BDWF,8,3,NA
2001,7/4/2001,185,230,230N,DLVN,1,1,NA
2001,7/4/2001,185,230,230N,FHSC,32,NA,NA
2001,7/4/2001,185,230,230N,RBSM,59,NA,NA
2001,7/4/2001,185,230,230N,SFCD,3,NA,NA
2001,7/4/2001,185,230,230S,ARCS,6,1,NA
2001,7/4/2001,185,230,230S,ARCS,15,2,NA
2001,7/4/2001,185,230,230S,ARCS,8,3,NA
2001,7/4/2001,185,230,230S,ARFL,15,NA,NA
