STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection
WBAN:27406,DEADHORSE AIRPORT AK US,18.6,70.1917,-148.4772,1/1/2001 23:59,SOD,-21s,-41,-31s,-17.0s,,,,96s,0s,,,FG:01 BR:13 HZ:08,,,,30.16,,4.9,15,40,13,50
WBAN:27406,DEADHORSE AIRPORT AK US,18.6,70.1917,-148.4772,1/2/2001 23:59,SOD,-20,-38,-29,-14.8,,,,94,0,,,SN:18 FG:01 BR:13,,,,30.2,,11.1,18,60,17,60
WBAN:27406,DEADHORSE AIRPORT AK US,18.6,70.1917,-148.4772,1/3/2001 23:59,SOD,-14,-22,-18,-3.6,,,,83,0,,,FG:01 BR:13 BLSN:09,,,,30.01,,16.1,24,60,22,60
WBAN:27406,DEADHORSE AIRPORT AK US,18.6,70.1917,-148.4772,1/4/2001 23:59,SOD,-22,-37,-29,-14.4,,,,94,0,,,HZ:08,,,,30.08,,6.9,13,50,12,240
WBAN:27406,DEADHORSE AIRPORT AK US,18.6,70.1917,-148.4772,1/5/2001 23:59,SOD,-27,-35,-31,-16.2,,,,96,0,,,FG:01 BR:13 HZ:08,,,,29.98,,9.2,13,230,12,240
WBAN:27406,DEADHORSE AIRPORT AK US,18.6,70.1917,-148.4772,1/6/2001 23:59,SOD,-30,-42,-36,-21,,,,101,0,,,FG:01 BR:13,,,,29.94,,8.1,12,250,12,240
WBAN:27406,DEADHORSE AIRPORT AK US,18.6,70.1917,-148.4772,1/7/2001 23:59,SOD,-9,-43,-26,-10.8,,,,91,0,,,SN:18 FG:01 BR:13 BLSN:09,,,,29.46,,21.7,51,80,45,80
WBAN:27406,DEADHORSE AIRPORT AK US,18.6,70.1917,-148.4772,1/8/2001 23:59,SOD,-4,-9,-6,9.4,,,,71,0,,,SN:18 FG:01 BR:13 BLSN:09,,,,28.98,,28.5,51,80,45,80
WBAN:27406,DEADHORSE AIRPORT AK US,18.6,70.1917,-148.4772,1/9/2001 23:59,SOD,-5,-13,-9,6.5,,,,74,0,,,SN:18 FG:01 BR:13,,,,29.41,,1.7,15,50,15,50
WBAN:27406,DEADHORSE AIRPORT AK US,18.6,70.1917,-148.4772,1/10/2001 23:59,SOD,-11,-24,-17,-1.3,,,,82,0,,,SN:18 HZ:08,,,,29.91,,9.1,15,70,15,70
